stdio    D C:\LIBS5302Build\A5211\allegro\src\file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Zach\Documents\GitHub\adventure\adventure\bin\Debug\allegro5.cfg r
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5302Build\A5211\allegro\src\system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.1
dtor     D C:\LIBS5302Build\A5211\allegro\src\dtor.c:196  _al_register_destructor          [   0.00509] added dtor for timer 010DDA20, func 0040A8C4
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00606] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:682  load_library_at_path             [   0.00612] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I C:\LIBS5302Build\A5211\allegro\src\win\wsystem.c:685  load_library_at_path             [   0.01381] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:674  d3d_init_display                 [   0.02920] Render-to-texture: 1
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1769 d3d_create_display_locked        [   0.03152] faux_fullscreen=0
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1770 d3d_create_display_locked        [   0.03162] al_display=010DDBC8
d3d      D C:\LIBS5302Build\A5211\allegro\src\win\d3d_disp.cpp:1771 d3d_create_display_locked        [   0.03167] al_display->vt=010DDB10
d3d      I C:\LIBS5302Build\A5211\allegro\src\win\d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03374] found 64 format combinations
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03385] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03395] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03400] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03407] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03411] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03417] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03421] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03427] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03432] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03437] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03442] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03447] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03460] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03487] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03494] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03500] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03547] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03553] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03558] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03564] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03568] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03574] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03578] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03584] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03588] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03594] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03598] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03604] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03608] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03612] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03615] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:527  _al_score_display_settings       [   0.03619] Score is : 897
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03622] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03626] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03632] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03635] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03639] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03647] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03650] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03655] Single Buffer requirement not met.
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:212  debug_display_settings           [   0.03658] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5302Build\A5211\allegro\src\display_settings.c:398  _al_score_display_settings       [   0.03662] Single Buffer requirement not met.
